product_code,product_name,vendor,product_type,category,accessoryType,paymentType,description,standard_cost,standard_rep_price,new_cost,new_rep_price,upgrade_cost,upgrade_rep_price,is_active,available_for_all,sales_rep_credit,funding,lease
SW-DMS-001,Document Management Suite,,Application,Document Management,Software License,Monthly,Advanced document workflow and management solution,150,299,120,249,100,199,TRUE,TRUE,TRUE,TRUE,FALSE
SW-PRT-002,Print Management Pro,,License,Print Management,Add-on Module,Annual,Comprehensive print monitoring and cost control,200,399,180,349,150,299,TRUE,TRUE,TRUE,TRUE,TRUE
SW-UNI-003,UniFlow License,,License,UniFlow,Software License,Perpetual,UniFlow document workflow solution,500,999,450,899,400,799,TRUE,FALSE,TRUE,TRUE,FALSE
SW-PCU-004,Papercut MF,,Application,Papercut,Cloud Subscription,Monthly,Print management and cost recovery solution,100,199,80,159,60,119,TRUE,TRUE,TRUE,TRUE,FALSE
SW-PLG-005,PrinterLogic Suite,,License,PrinterLogic,Software License,Annual,Enterprise printer management solution,300,599,250,499,200,399,TRUE,FALSE,TRUE,TRUE,TRUE
SW-SEC-006,Security Scanner Pro,,Application,Security Software,Support Package,Monthly,Document security and compliance scanning,75,149,60,119,50,99,TRUE,TRUE,TRUE,FALSE,FALSE
SW-WFL-007,Workflow Automation,,Plugin,Workflow Automation,Add-on Module,Annual,Automated document processing workflows,250,499,200,399,175,349,TRUE,TRUE,TRUE,TRUE,FALSE
SW-CLD-008,Cloud Sync Service,,Cloud Service,Cloud Solutions,Cloud Subscription,Monthly,Multi-device cloud synchronization service,50,99,40,79,30,59,TRUE,TRUE,FALSE,TRUE,FALSE
6757C017AA,Cloud Connector for Email - (5 Year Term),Canon,Application,Document Management,Software License,Annual,,$600.00 ,,$240.00 ,$271.20 ,$240.00 ,$271.20 ,,,,,
6757C018AA,Cloud Connector for Box - (5 Year Term),Canon,Application,Document Management,Software License,Annual,,$600.00 ,,$240.00 ,$271.20 ,$240.00 ,$271.20 ,,,,,
6757C019AA,Cloud Connector for Dropbox - (5 Year Term),Canon,Application,Document Management,Software License,Annual,,$600.00 ,,$240.00 ,$271.20 ,$240.00 ,$271.20 ,,,,,
6757C020AA,Cloud Connector for Google Drive - (5 Year Term),Canon,Application,Document Management,Software License,Annual,,$600.00 ,,$240.00 ,$271.20 ,$240.00 ,$271.20 ,,,,,
6757C021AA,Cloud Connector for Microsoft Teams - (5 Year Term),Canon,Application,Document Management,Software License,Annual,,$600.00 ,,$240.00 ,$271.20 ,$240.00 ,$271.20 ,,,,,
6757C022AA,Cloud Connector for OneDrive - (5 Year Term),Canon,Application,Document Management,Software License,Annual,,$600.00 ,,$240.00 ,$271.20 ,$240.00 ,$271.20 ,,,,,
6757C023AA,Cloud Connector for OneDrive for Business - (5 Year Term),Canon,Application,Document Management,Software License,Annual,,$600.00 ,,$240.00 ,$271.20 ,$240.00 ,$271.20 ,,,,,
6757C024AA,Cloud Connector for SharePoint Online - (5 Year Term),Canon,Application,Document Management,Software License,Annual,,$600.00 ,,$240.00 ,$271.20 ,$240.00 ,$271.20 ,,,,,
6757C009AA,Cloud Connector for Email - (3 Year Term),Canon,Application,Document Management,Software License,Annual,,$400.00 ,,$150.00 ,$169.50 ,$150.00 ,$169.50 ,,,,,
6757C010AA,Cloud Connector for Box - (3 Year Term),Canon,Application,Document Management,Software License,Annual,,$400.00 ,,$150.00 ,$169.50 ,$150.00 ,$169.50 ,,,,,
6757C011AA,Cloud Connector for Dropbox - (3 Year Term),Canon,Application,Document Management,Software License,Annual,,$400.00 ,,$150.00 ,$169.50 ,$150.00 ,$169.50 ,,,,,
6757C012AA,Cloud Connector for Google Drive - (3 Year Term),Canon,Application,Document Management,Software License,Annual,,$400.00 ,,$150.00 ,$169.50 ,$150.00 ,$169.50 ,,,,,
6757C013AA,Cloud Connector for Microsoft Teams - (3 Year Term),Canon,Application,Document Management,Software License,Annual,,$400.00 ,,$150.00 ,$169.50 ,$150.00 ,$169.50 ,,,,,
6757C014AA,Cloud Connector for OneDrive - (3 Year Term),Canon,Application,Document Management,Software License,Annual,,$400.00 ,,$150.00 ,$169.50 ,$150.00 ,$169.50 ,,,,,
6757C015AA,Cloud Connector for OneDrive for Business - (3 Year Term),Canon,Application,Document Management,Software License,Annual,,$400.00 ,,$150.00 ,$169.50 ,$150.00 ,$169.50 ,,,,,
6757C016AA,Cloud Connector for SharePoint Online - (3 Year Term),Canon,Application,Document Management,Software License,Annual,,$400.00 ,,$150.00 ,$169.50 ,$150.00 ,$169.50 ,,,,,
6757C001AA,Cloud Connector for Email - (1 Year NFR),Canon,Application,Document Management,Software License,Annual,,$45.00 ,,$30.00 ,$33.90 ,$30.00 ,$33.90 ,,,,,
6757C002AA,Cloud Connector for Box - (1 Year NFR),Canon,Application,Document Management,Software License,Annual,,$45.00 ,,$30.00 ,$33.90 ,$30.00 ,$33.90 ,,,,,
6757C003AA,Cloud Connector for Dropbox - (1 Year NFR),Canon,Application,Document Management,Software License,Annual,,$45.00 ,,$30.00 ,$33.90 ,$30.00 ,$33.90 ,,,,,
6757C004AA,Cloud Connector for Google Drive - (1 Year NFR),Canon,Application,Document Management,Software License,Annual,,$45.00 ,,$30.00 ,$33.90 ,$30.00 ,$33.90 ,,,,,
6757C005AA,Cloud Connector for Microsoft Teams - (1 Year NFR),Canon,Application,Document Management,Software License,Annual,,$45.00 ,,$30.00 ,$33.90 ,$30.00 ,$33.90 ,,,,,
6757C006AA,Cloud Connector for OneDrive - (1 Year NFR),Canon,Application,Document Management,Software License,Annual,,$45.00 ,,$30.00 ,$33.90 ,$30.00 ,$33.90 ,,,,,
6757C007AA,Cloud Connector for OneDrive for Business - (1 Year NFR),Canon,Application,Document Management,Software License,Annual,,$45.00 ,,$30.00 ,$33.90 ,$30.00 ,$33.90 ,,,,,
6757C008AA,Cloud Connector for SharePoint Online - (1 Year NFR),Canon,Application,Document Management,Software License,Annual,,$45.00 ,,$30.00 ,$33.90 ,$30.00 ,$33.90 ,,,,,
4224C062AA,Authorized Send V7.X (1 License) e-LAN,Canon,Application,Security Software,Software License,Perpetual,,"$1,100.00 ",,$600.00 ,$678.00 ,$600.00 ,$678.00 ,,,,,
4224C063AA,Authorized Send V7.X (10 License) e-LAN,Canon,Application,Security Software,Software License,Perpetual,,"$10,500.00 ",,"$5,700.00 ","$6,441.00 ","$5,700.00 ","$6,441.00 ",,,,,
4224C064AA,Authorized Send V7.X (100 License) e-LAN,Canon,Application,Security Software,Software License,Perpetual,,"$105,000.00 ",,"$57,000.00 ","$64,410.00 ","$57,000.00 ","$64,410.00 ",,,,,
4224C065AA,Authorized Send V7.X NFR (1 License) e-LAN,Canon,Application,Security Software,Software License,Perpetual,,$30.00 ,,$20.00 ,$22.60 ,$20.00 ,$22.60 ,,,,,
4224C066AA,Authorized Send To Fax V7.X (1 License) e-LAN,Canon,Application,Security Software,Software License,Perpetual,,$390.00 ,,$260.00 ,$293.80 ,$260.00 ,$293.80 ,,,,,
4224C015AA,Authorized Send V7.X Add-on Option  (1 License) e-LAN,Canon,Application,Security Software,Software License,Perpetual,,$735.00 ,,$490.00 ,$553.70 ,$490.00 ,$553.70 ,,,,,
4224C016AA,Authorized Send V7.X Worldox Add-on Option  (1 License) e-LAN,Canon,Application,Security Software,Software License,Perpetual,,$225.00 ,,$150.00 ,$169.50 ,$150.00 ,$169.50 ,,,,,
4224C017AA,Authorized Send V7.X Bar Code Recognition Add-on Option  (1 License) e-LAN,Canon,Application,Security Software,Software License,Perpetual,,$225.00 ,,$150.00 ,$169.50 ,$150.00 ,$169.50 ,,,,,
4224C018AA,Authorized Send V7.X Fax Server Add-on Option (1 License) e-LAN,Canon,Application,Security Software,Software License,Perpetual,,$225.00 ,,$150.00 ,$169.50 ,$150.00 ,$169.50 ,,,,,
