Canon,,,,,,    Dealer Price List ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
imageRUNNER / imageFORCE / imagePRESS Lite Products,,,,,,"Version 10 Effective Date: June 30, 2025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Terms & Conditions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Terms:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
• 3% check with order / 2% 30 days / Net 60 days for all products and accessories with * mark.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
• There are NO Cash Discount for all products with Φ mark.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
• All other items 2% 20 days / Net 30 days.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conditions:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
• All orders must be placed on C.N.A.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
• All orders are subject to credit approval.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
• Prices are F.O.B. from the nearest Canon warehouse where the products ordered are then available.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"• Prices are subject to change pursuant to your applicable Canon U.S.A., Inc. dealer agreement.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
• Inventory Finance Plans and Rental Finance Programs are available for qualified Canon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"  dealers. For detailed information, contact the nearest Canon Regional Office.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"THIS CANON U.S.A., INC. DEALER PRICE LIST IS CONFIDENTIAL AND FOR AUTHORIZED DEALERS' USE ONLY.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u Showroom Terms (in addition to above):,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
• Only one showroom model may be ordered per showroom location,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
• Showroom units must be placed in the dealer showroom for a minimum of 6 months,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
• A new Showroom unit may be purchased every 6 months,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"• If a showroom unit is removed from the showroom prior to the 6 month period, the discount will be charged-back  ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
• Showroom models CAN be claimed for any promotions including CSMP/CSAP & GE ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revision History,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Version 10 Effective Date: June 30, 2025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1) Dealer Price & MSRP updated for item 3438B025AA, Adobe Acrobat Pro 2020 Option Kit (page 14)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2) Cabinet Type-U is required for below configuration: “iF” models with two or more optional cassettes . “iFZ” models with one or more optional cassettes wording removed from ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"     iR ADV DX 719iF Series, Hardware Accessories, footnote <4> (page 29)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3) The following two items must be purchased wording removed from imageFORCE C5170 / 6100 Series and imageRUNNER ADVANCE DX 8900 Series mainframe (16,39,42)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4) MSRP updated for item 6381C002AA, imageFORCE 6170/6160/6155 (page 39)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5) MSRP updated for item 6614C002AA, imageFORCE 6170 Speed License (page 39)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"6) MSRP updated for item 6615C002AA, imageFORCE 6160 Speed License (page 39)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"7) MSRP updated for item 6616C002AA, imageFORCE 6155 Speed License (page 39)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8) Item 3077B146AA, Adobe Acrobat Pro 2020 Option Kit, discontinued and removed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Version 9 Effective Date: June 13, 2025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1) Footnotes <2> & <3> revised under imageRUNNER ADVANCE DX C5800 Series mainframe ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2) Footnotes <2> & <6> revised under imageRUNNER ADVANCE DX C5870i/C5840i Showroom Models ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3) Footnote <6>, revised under imageRUNNER ADVANCE DX C5800 Series Hardware Accessories ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4) Dealer Price & MSRP updated for item 3438B025AA, i1 Publish (i1 Profiler) Software ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5) Footnotes <2> & <3> revised under imageRUNNER ADVANCE DX 6800 Series mainframe ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6) Footnotes <2> & <6> revised under imageRUNNER ADVANCE DX 6800 Series Showroom Models,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7) Footnote <6> revised under imageRUNNER ADVANCE DX 6800 Series Hardware Accessories ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Version 8 Effective Date: June 9, 2025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1) NEW - Item 6378C002AA, imageFORCE C5170 / C5160 / C5150, added ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2) NEW - Item 6381C002AA, imageFORCE 6170 / 6160 / 6155, added ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3) Footnotes <2><3> & <5> revised under imageRUNNER ADVANCE DX C5800 / 6800 / 6980 / 8900 System Connectivity Accessories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4) Footnotes <2> & <3> revised under imagePRESS Lite C270 / C265 System Connectivity Accessories ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5) Dealer Price and MSRP updated for item 3077B130AA, Fiery Color Profiler Suite ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6) Item code 4224C174AA→4224C181AA changed and description revised for MEAP Web Kit V1.0 →V1.1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"7) Footnote <3> removed from under iR ADV DX 6980i System Connectivity Accessories, and the remaining footnotes were renumbered ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Version 7 Effective Date: June 1, 2025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1) Dealer Price and MSRP updated on all highlighted items,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2) ""iF C7165 is not supported at launch"" removed from Cloud Connector write-up ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Version 6 Effective Date: May 12, 2025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1) Item 1410C002AA, Staple Finisher-Z1 SHOWROOM, discontinued and removed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2) Footnote <5>, under iR ADV DX C359iF/C259iF, removed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3) Item 1410C001AA, Staple Finisher-Z1, discontinued and removed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4) Footnotes <5> & <6>, under iR ADV DX C359iF/C259iF Hardware Accessories, removed. The remaining footnotes renumbered ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Version 5 Effective Date: April 8, 2025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1) NEW - Item 7147C001AA Staple Finisher Lite-A1, added ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2) Footnote <3>, under iR ADV DX C5800/6800 and iF C7165 Hardware Accessories, revised ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3) NEW - Footnote <21> added under Hardware Accessories ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Version 4 Effective Date: February 28, 2025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1) CORRECTION - The item code for Fiery Impose and Compose 3 years term license should be 7752A081AA not 7752A082AA ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2) CORRECTION - The item code for Fiery Impose and Compose 5 years term license should be 7752A082AA not 7752A081AA ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Version 3 Effective Date: February 21, 2025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1) Item code changed for Loose Leaf 3-Hole Punch (round) LTR-B1 0259C001AA→4481V135 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2) Item code changed for Jogger Kit-A1 3237C001AA→3237C001BA ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3) Item code changed for Silex Wireless Bridge SX-4600WAN2 8034B005AA→8034B005BA ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Version 2 Effective Date: January 6, 2025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1) Item code changed for Plastic comb 19-Hole Punch (rect) LTR-B1 0259C004AA→4481V180 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2) Item code changed for High Durability Color Coil 44-Hole Punch (round) LTR-B1 0259C016AA→4481V200 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3) Item code changed for Crease Die 0259C019AA→4481V203 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Version 1 Effective Date: January 2, 2025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1) Item code changed for Staple Finisher-AG1 0117C005AA→5593C009AA ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2) Item code changed for Booklet Finisher-AG1 0118C005AA→5594C008AA ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3) Description revised for item 1008B001AA Staple-P1 (for Inner Finisher-L1) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4) Description revised for Staple Cartridge-Y1 (for Booklet Finisher -A1 →A2 with Tri-Fold),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5) Item 0146C001AA, Staple Cartridge-X1 (for Staple Finisher-AB3 & Booklet Finisher-A2 with Tri-Fold) added under iR ADV DX C5800 and DX 6800 Supplies & Consumables ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"6) Footnote <3>, added under iR ADV DX C5800 and DX 6800 Supplies and Consumables ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Previous Changes Effective Date: December 20, 2024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1) Item 3575BA82AA, MiCard PLUS C, removed.  ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTE: Please refer to the uniFLOW Price List for item 3575BA82AA and pricing.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Version 4 Effective Date: April 1, 2024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1) Dealer Price and MSRP increased for all highlighted items ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2) Item 3077B147AA, Fiery Job Master w/ 1 yr Maintenance, removed from imagePRESS Lite C270/C265",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3) Item 3077B115AA, Fiery Job Master Annual Maintenance, removed from imagePRESS Lite C270/C265",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4) Item 3077B148AA, Fiery Job Master and Impose w/ 1 yr Maintenance, removed from imagePRESS Lite C270/C265",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5) Item 3077B116AA, Fiery Job Master and Impose Annual Maintenance, removed from imagePRESS Lite C270/C265",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
